currency_code,no,date,rate
"eur","251/A/NBP/2024","2024-12-30",4.2738
"eur","252/A/NBP/2024","2024-12-31",4.2730
"eur","001/A/NBP/2025","2025-01-02",4.2668
"eur","002/A/NBP/2025","2025-01-03",4.2718
"eur","003/A/NBP/2025","2025-01-07",4.2515
"eur","004/A/NBP/2025","2025-01-08",4.2656
"eur","005/A/NBP/2025","2025-01-09",4.2794
"eur","006/A/NBP/2025","2025-01-10",4.2657
"eur","007/A/NBP/2025","2025-01-13",4.2715
"eur","008/A/NBP/2025","2025-01-14",4.2737
"eur","009/A/NBP/2025","2025-01-15",4.2611
